date,month,month_num,year,quarter,region,store_name,product_name,category,quantity,unit_price,discount_pct,net_revenue,gross_profit
2024-10-20,October,10,2024,Q4,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,5,69.99,0,349.95,249.95
2023-09-10,September,9,2023,Q3,Online,Online Store,Running Shoes Men,Footwear,10,99.99,5,949.9,649.9
2024-08-20,August,8,2024,Q3,West,Calgary Centre,Yoga Mat Premium,Health,4,39.99,0,159.96,127.96
2024-06-05,June,6,2024,Q2,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,1,69.99,20,55.99,49.99
2023-04-23,April,4,2023,Q2,Online,Online Store,Laptop Stand Aluminum,Electronics,3,49.99,20,119.98,113.97
2024-11-27,November,11,2024,Q4,Central,Saskatoon Outlet,Yoga Mat Premium,Health,2,39.99,5,75.98,63.98
2024-01-26,January,1,2024,Q1,Central,Saskatoon Outlet,Bluetooth Speaker Mini,Electronics,5,69.99,10,314.95,249.95
2023-01-12,January,1,2023,Q1,Online,Online Store,Office Chair Ergonomic,Furniture,9,249.99,20,1799.93,1484.91
2023-10-01,October,10,2023,Q4,East,Toronto Downtown,Coffee Maker Deluxe,Appliances,5,119.99,5,569.95,399.95
2023-06-11,June,6,2023,Q2,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,5,69.99,10,314.95,249.95
2023-07-02,July,7,2023,Q3,Online,Online Store,Office Chair Ergonomic,Furniture,5,249.99,20,999.96,824.95
2024-10-16,October,10,2024,Q4,West,Vancouver Flagship,Protein Powder Vanilla,Health,6,54.99,20,263.95,221.94
2023-06-15,June,6,2023,Q2,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,6,129.99,5,740.94,509.94
2023-01-20,January,1,2023,Q1,West,Calgary Centre,Office Chair Ergonomic,Furniture,5,249.99,0,1249.95,824.95
2023-03-01,March,3,2023,Q1,Central,Saskatoon Outlet,Protein Powder Vanilla,Health,2,54.99,0,109.98,73.98
2024-05-12,May,5,2024,Q2,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,3,249.99,0,749.97,494.97
2024-11-06,November,11,2024,Q4,Central,Saskatoon Outlet,Bluetooth Speaker Mini,Electronics,3,69.99,0,209.97,149.97
2024-06-24,June,6,2024,Q2,West,Vancouver Flagship,Yoga Mat Premium,Health,9,39.99,20,287.93,287.91
2024-12-07,December,12,2024,Q4,Online,Online Store,Protein Powder Vanilla,Health,5,54.99,5,261.2,184.95
2024-11-18,November,11,2024,Q4,East,Montreal Hub,Coffee Maker Deluxe,Appliances,9,119.99,5,1025.91,719.91
2023-05-04,May,5,2023,Q2,West,Vancouver Flagship,Protein Powder Vanilla,Health,2,54.99,0,109.98,73.98
2023-01-22,January,1,2023,Q1,Central,Saskatoon Outlet,Protein Powder Vanilla,Health,4,54.99,0,219.96,147.96
2023-03-14,March,3,2023,Q1,West,Vancouver Flagship,Wireless Headphones Pro,Electronics,2,129.99,0,259.98,169.98
2023-12-05,December,12,2023,Q4,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,4,249.99,0,999.96,659.96
2024-11-16,November,11,2024,Q4,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,9,69.99,0,629.91,449.91
2024-08-07,August,8,2024,Q3,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,8,69.99,20,447.94,399.92
2024-02-21,February,2,2024,Q1,East,Toronto Downtown,Protein Powder Vanilla,Health,2,54.99,15,93.48,73.98
2024-03-17,March,3,2024,Q1,East,Montreal Hub,Coffee Maker Deluxe,Appliances,7,119.99,5,797.93,559.93
2023-02-25,February,2,2023,Q1,East,Toronto Downtown,Office Chair Ergonomic,Furniture,7,249.99,15,1487.44,1154.93
2023-12-14,December,12,2023,Q4,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,4,249.99,0,999.96,659.96
2024-07-03,July,7,2024,Q3,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,7,69.99,0,489.93,349.93
2023-10-13,October,10,2023,Q4,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,2,69.99,5,132.98,99.98
2024-07-17,July,7,2024,Q3,East,Toronto Downtown,Office Chair Ergonomic,Furniture,9,249.99,20,1799.93,1484.91
2023-01-16,January,1,2023,Q1,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,3,249.99,5,712.47,494.97
2024-05-12,May,5,2024,Q2,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,7,69.99,0,489.93,349.93
2023-06-18,June,6,2023,Q2,East,Toronto Downtown,Yoga Mat Premium,Health,7,39.99,0,279.93,223.93
2024-04-10,April,4,2024,Q2,East,Montreal Hub,Running Shoes Men,Footwear,9,99.99,15,764.92,584.91
2024-05-13,May,5,2024,Q2,West,Vancouver Flagship,Laptop Stand Aluminum,Electronics,5,49.99,0,249.95,189.95
2023-03-01,March,3,2023,Q1,Online,Online Store,Wireless Headphones Pro,Electronics,6,129.99,0,779.94,509.94
2023-02-21,February,2,2023,Q1,Central,Saskatoon Outlet,Bluetooth Speaker Mini,Electronics,9,69.99,0,629.91,449.91
2023-02-28,February,2,2023,Q1,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,2,249.99,10,449.98,329.98
2023-03-11,March,3,2023,Q1,East,Montreal Hub,Protein Powder Vanilla,Health,2,54.99,10,98.98,73.98
2023-09-10,September,9,2023,Q3,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,2,129.99,5,246.98,169.98
2024-11-04,November,11,2024,Q4,West,Calgary Centre,Coffee Maker Deluxe,Appliances,4,119.99,15,407.97,319.96
2023-11-18,November,11,2023,Q4,West,Calgary Centre,Protein Powder Vanilla,Health,7,54.99,0,384.93,258.93
2024-11-18,November,11,2024,Q4,East,Montreal Hub,Running Shoes Men,Footwear,6,99.99,20,479.95,389.94
2023-03-16,March,3,2023,Q1,East,Montreal Hub,Wireless Headphones Pro,Electronics,10,129.99,10,1169.91,849.9
2023-04-13,April,4,2023,Q2,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,4,249.99,10,899.96,659.96
2023-09-29,September,9,2023,Q3,West,Calgary Centre,Laptop Stand Aluminum,Electronics,2,49.99,0,99.98,75.98
2024-01-14,January,1,2024,Q1,West,Vancouver Flagship,Running Shoes Men,Footwear,8,99.99,20,639.94,519.92
2024-07-10,July,7,2024,Q3,Central,Saskatoon Outlet,Running Shoes Men,Footwear,9,99.99,0,899.91,584.91
2024-11-14,November,11,2024,Q4,Online,Online Store,Running Shoes Men,Footwear,2,99.99,0,199.98,129.98
2023-09-28,September,9,2023,Q3,East,Toronto Downtown,Office Chair Ergonomic,Furniture,9,249.99,0,2249.91,1484.91
2023-10-06,October,10,2023,Q4,Central,Saskatoon Outlet,Running Shoes Men,Footwear,4,99.99,15,339.97,259.96
2023-12-18,December,12,2023,Q4,Online,Online Store,Protein Powder Vanilla,Health,5,54.99,10,247.45,184.95
2024-05-15,May,5,2024,Q2,East,Toronto Downtown,Running Shoes Men,Footwear,2,99.99,15,169.98,129.98
2024-03-09,March,3,2024,Q1,East,Toronto Downtown,Running Shoes Men,Footwear,1,99.99,0,99.99,64.99
2023-05-14,May,5,2023,Q2,West,Vancouver Flagship,Running Shoes Men,Footwear,8,99.99,10,719.93,519.92
2024-12-23,December,12,2024,Q4,Central,Saskatoon Outlet,Yoga Mat Premium,Health,1,39.99,0,39.99,31.99
2023-03-19,March,3,2023,Q1,Central,Saskatoon Outlet,Laptop Stand Aluminum,Electronics,1,49.99,20,39.99,37.99
2024-01-14,January,1,2024,Q1,East,Montreal Hub,Laptop Stand Aluminum,Electronics,3,49.99,0,149.97,113.97
2023-11-12,November,11,2023,Q4,East,Toronto Downtown,Coffee Maker Deluxe,Appliances,6,119.99,0,719.94,479.94
2024-11-29,November,11,2024,Q4,Online,Online Store,Protein Powder Vanilla,Health,2,54.99,0,109.98,73.98
2024-07-27,July,7,2024,Q3,Central,Saskatoon Outlet,Yoga Mat Premium,Health,3,39.99,0,119.97,95.97
2023-06-16,June,6,2023,Q2,East,Montreal Hub,Laptop Stand Aluminum,Electronics,1,49.99,0,49.99,37.99
2023-12-07,December,12,2023,Q4,Online,Online Store,Yoga Mat Premium,Health,4,39.99,0,159.96,127.96
2023-06-13,June,6,2023,Q2,East,Montreal Hub,Office Chair Ergonomic,Furniture,1,249.99,20,199.99,164.99
2024-04-26,April,4,2024,Q2,West,Vancouver Flagship,Protein Powder Vanilla,Health,8,54.99,0,439.92,295.92
2023-11-09,November,11,2023,Q4,West,Vancouver Flagship,Protein Powder Vanilla,Health,1,54.99,15,46.74,36.99
2023-07-17,July,7,2023,Q3,West,Calgary Centre,Yoga Mat Premium,Health,5,39.99,20,159.96,159.95
2023-03-13,March,3,2023,Q1,West,Calgary Centre,Running Shoes Men,Footwear,9,99.99,5,854.91,584.91
2024-11-26,November,11,2024,Q4,East,Toronto Downtown,Coffee Maker Deluxe,Appliances,2,119.99,0,239.98,159.98
2023-07-02,July,7,2023,Q3,East,Toronto Downtown,Running Shoes Men,Footwear,2,99.99,10,179.98,129.98
2024-03-20,March,3,2024,Q1,Online,Online Store,Coffee Maker Deluxe,Appliances,6,119.99,5,683.94,479.94
2024-09-12,September,9,2024,Q3,East,Montreal Hub,Office Chair Ergonomic,Furniture,10,249.99,0,2499.9,1649.9
2023-09-18,September,9,2023,Q3,Online,Online Store,Wireless Headphones Pro,Electronics,7,129.99,0,909.93,594.93
2024-06-16,June,6,2024,Q2,West,Calgary Centre,Protein Powder Vanilla,Health,7,54.99,0,384.93,258.93
2024-11-11,November,11,2024,Q4,Central,Saskatoon Outlet,Coffee Maker Deluxe,Appliances,6,119.99,15,611.95,479.94
2023-05-08,May,5,2023,Q2,Central,Saskatoon Outlet,Running Shoes Men,Footwear,5,99.99,15,424.96,324.95
2024-02-23,February,2,2024,Q1,East,Montreal Hub,Coffee Maker Deluxe,Appliances,5,119.99,10,539.95,399.95
2023-05-11,May,5,2023,Q2,East,Montreal Hub,Protein Powder Vanilla,Health,7,54.99,15,327.19,258.93
2023-06-28,June,6,2023,Q2,East,Montreal Hub,Running Shoes Men,Footwear,9,99.99,20,719.93,584.91
2023-01-01,January,1,2023,Q1,West,Calgary Centre,Running Shoes Men,Footwear,4,99.99,5,379.96,259.96
2024-08-16,August,8,2024,Q3,East,Montreal Hub,Coffee Maker Deluxe,Appliances,8,119.99,5,911.92,639.92
2024-11-22,November,11,2024,Q4,Central,Saskatoon Outlet,Protein Powder Vanilla,Health,8,54.99,20,351.94,295.92
2023-06-23,June,6,2023,Q2,West,Calgary Centre,Office Chair Ergonomic,Furniture,9,249.99,15,1912.42,1484.91
2024-10-10,October,10,2024,Q4,East,Toronto Downtown,Coffee Maker Deluxe,Appliances,4,119.99,15,407.97,319.96
2023-11-14,November,11,2023,Q4,West,Vancouver Flagship,Protein Powder Vanilla,Health,3,54.99,0,164.97,110.97
2023-02-17,February,2,2023,Q1,East,Montreal Hub,Protein Powder Vanilla,Health,10,54.99,20,439.92,369.9
2023-03-16,March,3,2023,Q1,East,Montreal Hub,Bluetooth Speaker Mini,Electronics,10,69.99,0,699.9,499.9
2024-12-14,December,12,2024,Q4,East,Montreal Hub,Yoga Mat Premium,Health,7,39.99,0,279.93,223.93
2023-06-01,June,6,2023,Q2,East,Toronto Downtown,Wireless Headphones Pro,Electronics,7,129.99,0,909.93,594.93
2023-06-30,June,6,2023,Q2,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,9,69.99,0,629.91,449.91
2023-05-05,May,5,2023,Q2,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,8,69.99,15,475.93,399.92
2024-06-27,June,6,2024,Q2,East,Montreal Hub,Coffee Maker Deluxe,Appliances,10,119.99,20,959.92,799.9
2024-05-31,May,5,2024,Q2,Central,Saskatoon Outlet,Yoga Mat Premium,Health,8,39.99,0,319.92,255.92
2024-05-01,May,5,2024,Q2,West,Calgary Centre,Bluetooth Speaker Mini,Electronics,4,69.99,20,223.97,199.96
2024-10-14,October,10,2024,Q4,Central,Saskatoon Outlet,Running Shoes Men,Footwear,8,99.99,15,679.93,519.92
2023-09-02,September,9,2023,Q3,East,Montreal Hub,Running Shoes Men,Footwear,2,99.99,15,169.98,129.98
2023-10-20,October,10,2023,Q4,West,Calgary Centre,Protein Powder Vanilla,Health,6,54.99,0,329.94,221.94
2024-07-07,July,7,2024,Q3,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,3,249.99,0,749.97,494.97
2024-01-28,January,1,2024,Q1,Online,Online Store,Laptop Stand Aluminum,Electronics,4,49.99,0,199.96,151.96
2024-02-29,February,2,2024,Q1,West,Calgary Centre,Yoga Mat Premium,Health,9,39.99,5,341.91,287.91
2024-03-01,March,3,2024,Q1,West,Vancouver Flagship,Wireless Headphones Pro,Electronics,7,129.99,5,864.43,594.93
2024-08-21,August,8,2024,Q3,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,7,129.99,5,864.43,594.93
2023-01-07,January,1,2023,Q1,West,Calgary Centre,Coffee Maker Deluxe,Appliances,7,119.99,20,671.94,559.93
2024-03-05,March,3,2024,Q1,East,Montreal Hub,Protein Powder Vanilla,Health,4,54.99,0,219.96,147.96
2024-03-22,March,3,2024,Q1,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,7,69.99,0,489.93,349.93
2024-11-15,November,11,2024,Q4,Online,Online Store,Yoga Mat Premium,Health,3,39.99,20,95.98,95.97
2024-04-23,April,4,2024,Q2,Central,Saskatoon Outlet,Laptop Stand Aluminum,Electronics,9,49.99,0,449.91,341.91
2024-02-08,February,2,2024,Q1,East,Toronto Downtown,Wireless Headphones Pro,Electronics,7,129.99,0,909.93,594.93
2024-04-17,April,4,2024,Q2,East,Toronto Downtown,Laptop Stand Aluminum,Electronics,5,49.99,5,237.45,189.95
2023-12-02,December,12,2023,Q4,East,Montreal Hub,Protein Powder Vanilla,Health,6,54.99,0,329.94,221.94
2024-01-24,January,1,2024,Q1,East,Montreal Hub,Running Shoes Men,Footwear,5,99.99,20,399.96,324.95
2023-03-25,March,3,2023,Q1,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,9,69.99,0,629.91,449.91
2023-12-25,December,12,2023,Q4,Online,Online Store,Protein Powder Vanilla,Health,2,54.99,20,87.98,73.98
2024-10-29,October,10,2024,Q4,East,Toronto Downtown,Wireless Headphones Pro,Electronics,4,129.99,0,519.96,339.96
2023-01-21,January,1,2023,Q1,West,Vancouver Flagship,Laptop Stand Aluminum,Electronics,3,49.99,5,142.47,113.97
2024-11-16,November,11,2024,Q4,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,4,249.99,5,949.96,659.96
2024-12-17,December,12,2024,Q4,West,Calgary Centre,Running Shoes Men,Footwear,3,99.99,10,269.97,194.97
2024-09-13,September,9,2024,Q3,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,5,249.99,0,1249.95,824.95
2024-08-15,August,8,2024,Q3,West,Calgary Centre,Wireless Headphones Pro,Electronics,10,129.99,15,1104.91,849.9
2024-01-20,January,1,2024,Q1,Online,Online Store,Yoga Mat Premium,Health,4,39.99,0,159.96,127.96
2024-08-29,August,8,2024,Q3,East,Toronto Downtown,Protein Powder Vanilla,Health,5,54.99,20,219.96,184.95
2024-12-01,December,12,2024,Q4,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,1,249.99,0,249.99,164.99
2024-06-29,June,6,2024,Q2,Online,Online Store,Yoga Mat Premium,Health,6,39.99,0,239.94,191.94
2024-06-02,June,6,2024,Q2,East,Toronto Downtown,Coffee Maker Deluxe,Appliances,7,119.99,20,671.94,559.93
2024-05-16,May,5,2024,Q2,East,Montreal Hub,Office Chair Ergonomic,Furniture,6,249.99,15,1274.95,989.94
2024-04-15,April,4,2024,Q2,East,Montreal Hub,Laptop Stand Aluminum,Electronics,3,49.99,15,127.47,113.97
2024-06-18,June,6,2024,Q2,Central,Saskatoon Outlet,Running Shoes Men,Footwear,9,99.99,20,719.93,584.91
2024-05-10,May,5,2024,Q2,East,Montreal Hub,Bluetooth Speaker Mini,Electronics,10,69.99,0,699.9,499.9
2023-11-27,November,11,2023,Q4,East,Toronto Downtown,Protein Powder Vanilla,Health,5,54.99,5,261.2,184.95
2023-09-07,September,9,2023,Q3,Central,Saskatoon Outlet,Bluetooth Speaker Mini,Electronics,10,69.99,15,594.91,499.9
2024-01-24,January,1,2024,Q1,East,Toronto Downtown,Coffee Maker Deluxe,Appliances,8,119.99,20,767.94,639.92
2023-11-29,November,11,2023,Q4,East,Montreal Hub,Laptop Stand Aluminum,Electronics,4,49.99,0,199.96,151.96
2023-09-22,September,9,2023,Q3,West,Calgary Centre,Coffee Maker Deluxe,Appliances,10,119.99,15,1019.91,799.9
2023-10-10,October,10,2023,Q4,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,4,129.99,0,519.96,339.96
2023-09-05,September,9,2023,Q3,East,Montreal Hub,Yoga Mat Premium,Health,9,39.99,20,287.93,287.91
2023-09-04,September,9,2023,Q3,Online,Online Store,Bluetooth Speaker Mini,Electronics,8,69.99,5,531.92,399.92
2023-01-18,January,1,2023,Q1,West,Calgary Centre,Office Chair Ergonomic,Furniture,4,249.99,5,949.96,659.96
2024-12-09,December,12,2024,Q4,West,Calgary Centre,Protein Powder Vanilla,Health,10,54.99,0,549.9,369.9
2024-04-29,April,4,2024,Q2,East,Montreal Hub,Coffee Maker Deluxe,Appliances,9,119.99,0,1079.91,719.91
2023-12-27,December,12,2023,Q4,West,Calgary Centre,Bluetooth Speaker Mini,Electronics,5,69.99,0,349.95,249.95
2023-08-25,August,8,2023,Q3,Online,Online Store,Office Chair Ergonomic,Furniture,4,249.99,0,999.96,659.96
2023-05-03,May,5,2023,Q2,West,Vancouver Flagship,Laptop Stand Aluminum,Electronics,4,49.99,15,169.97,151.96
2024-05-10,May,5,2024,Q2,Online,Online Store,Running Shoes Men,Footwear,10,99.99,20,799.92,649.9
2024-06-21,June,6,2024,Q2,East,Toronto Downtown,Running Shoes Men,Footwear,4,99.99,0,399.96,259.96
2023-08-21,August,8,2023,Q3,West,Vancouver Flagship,Coffee Maker Deluxe,Appliances,5,119.99,0,599.95,399.95
2024-12-26,December,12,2024,Q4,West,Calgary Centre,Laptop Stand Aluminum,Electronics,1,49.99,0,49.99,37.99
2024-07-20,July,7,2024,Q3,Online,Online Store,Running Shoes Men,Footwear,3,99.99,15,254.97,194.97
2024-05-17,May,5,2024,Q2,East,Toronto Downtown,Office Chair Ergonomic,Furniture,10,249.99,0,2499.9,1649.9
2024-04-25,April,4,2024,Q2,East,Montreal Hub,Bluetooth Speaker Mini,Electronics,6,69.99,0,419.94,299.94
2023-02-22,February,2,2023,Q1,East,Montreal Hub,Running Shoes Men,Footwear,2,99.99,20,159.98,129.98
2023-03-08,March,3,2023,Q1,East,Montreal Hub,Yoga Mat Premium,Health,2,39.99,10,71.98,63.98
2024-10-06,October,10,2024,Q4,West,Vancouver Flagship,Wireless Headphones Pro,Electronics,3,129.99,20,311.98,254.97
2024-07-30,July,7,2024,Q3,East,Toronto Downtown,Running Shoes Men,Footwear,4,99.99,0,399.96,259.96
2024-07-25,July,7,2024,Q3,Central,Saskatoon Outlet,Yoga Mat Premium,Health,10,39.99,20,319.92,319.9
2024-09-25,September,9,2024,Q3,Central,Saskatoon Outlet,Protein Powder Vanilla,Health,7,54.99,5,365.68,258.93
2024-03-29,March,3,2024,Q1,Central,Saskatoon Outlet,Running Shoes Men,Footwear,7,99.99,0,699.93,454.93
2024-08-05,August,8,2024,Q3,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,2,129.99,20,207.98,169.98
2023-08-01,August,8,2023,Q3,West,Calgary Centre,Protein Powder Vanilla,Health,2,54.99,0,109.98,73.98
2023-09-03,September,9,2023,Q3,Central,Saskatoon Outlet,Laptop Stand Aluminum,Electronics,2,49.99,0,99.98,75.98
2023-01-03,January,1,2023,Q1,East,Montreal Hub,Yoga Mat Premium,Health,10,39.99,5,379.91,319.9
2023-10-26,October,10,2023,Q4,West,Vancouver Flagship,Wireless Headphones Pro,Electronics,5,129.99,15,552.46,424.95
2023-10-17,October,10,2023,Q4,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,4,69.99,0,279.96,199.96
2024-10-02,October,10,2024,Q4,East,Montreal Hub,Protein Powder Vanilla,Health,2,54.99,10,98.98,73.98
2023-08-19,August,8,2023,Q3,West,Calgary Centre,Laptop Stand Aluminum,Electronics,3,49.99,0,149.97,113.97
2023-03-03,March,3,2023,Q1,West,Calgary Centre,Laptop Stand Aluminum,Electronics,10,49.99,15,424.92,379.9
2024-08-05,August,8,2024,Q3,East,Montreal Hub,Running Shoes Men,Footwear,2,99.99,5,189.98,129.98
2024-12-06,December,12,2024,Q4,Online,Online Store,Running Shoes Men,Footwear,7,99.99,0,699.93,454.93
2024-05-27,May,5,2024,Q2,East,Montreal Hub,Bluetooth Speaker Mini,Electronics,2,69.99,10,125.98,99.98
2023-02-10,February,2,2023,Q1,Online,Online Store,Yoga Mat Premium,Health,6,39.99,10,215.95,191.94
2023-09-14,September,9,2023,Q3,East,Toronto Downtown,Wireless Headphones Pro,Electronics,4,129.99,15,441.97,339.96
2024-08-12,August,8,2024,Q3,Online,Online Store,Wireless Headphones Pro,Electronics,5,129.99,10,584.96,424.95
2023-02-11,February,2,2023,Q1,East,Montreal Hub,Laptop Stand Aluminum,Electronics,9,49.99,15,382.42,341.91
2024-03-28,March,3,2024,Q1,West,Vancouver Flagship,Running Shoes Men,Footwear,10,99.99,5,949.9,649.9
2024-10-12,October,10,2024,Q4,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,8,69.99,0,559.92,399.92
2024-02-23,February,2,2024,Q1,West,Calgary Centre,Coffee Maker Deluxe,Appliances,2,119.99,20,191.98,159.98
2023-06-14,June,6,2023,Q2,East,Montreal Hub,Coffee Maker Deluxe,Appliances,8,119.99,0,959.92,639.92
2024-11-09,November,11,2024,Q4,Central,Saskatoon Outlet,Yoga Mat Premium,Health,1,39.99,5,37.99,31.99
2023-04-01,April,4,2023,Q2,West,Calgary Centre,Coffee Maker Deluxe,Appliances,6,119.99,0,719.94,479.94
2024-02-18,February,2,2024,Q1,Online,Online Store,Wireless Headphones Pro,Electronics,9,129.99,5,1111.41,764.91
2024-02-28,February,2,2024,Q1,West,Vancouver Flagship,Wireless Headphones Pro,Electronics,9,129.99,0,1169.91,764.91
2024-09-29,September,9,2024,Q3,Online,Online Store,Bluetooth Speaker Mini,Electronics,8,69.99,20,447.94,399.92
2023-02-22,February,2,2023,Q1,West,Calgary Centre,Protein Powder Vanilla,Health,9,54.99,0,494.91,332.91
2023-10-22,October,10,2023,Q4,Online,Online Store,Bluetooth Speaker Mini,Electronics,8,69.99,0,559.92,399.92
2023-01-30,January,1,2023,Q1,Online,Online Store,Protein Powder Vanilla,Health,3,54.99,0,164.97,110.97
2024-07-18,July,7,2024,Q3,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,7,129.99,0,909.93,594.93
2023-08-19,August,8,2023,Q3,East,Montreal Hub,Office Chair Ergonomic,Furniture,2,249.99,15,424.98,329.98
2023-06-07,June,6,2023,Q2,Online,Online Store,Bluetooth Speaker Mini,Electronics,5,69.99,10,314.95,249.95
2024-12-23,December,12,2024,Q4,East,Montreal Hub,Running Shoes Men,Footwear,8,99.99,5,759.92,519.92
2023-09-07,September,9,2023,Q3,Central,Saskatoon Outlet,Bluetooth Speaker Mini,Electronics,3,69.99,5,199.47,149.97
2023-07-15,July,7,2023,Q3,East,Toronto Downtown,Laptop Stand Aluminum,Electronics,5,49.99,20,199.96,189.95
2024-02-29,February,2,2024,Q1,Central,Saskatoon Outlet,Coffee Maker Deluxe,Appliances,5,119.99,20,479.96,399.95
2023-01-03,January,1,2023,Q1,Online,Online Store,Running Shoes Men,Footwear,5,99.99,20,399.96,324.95
2024-08-24,August,8,2024,Q3,West,Vancouver Flagship,Bluetooth Speaker Mini,Electronics,8,69.99,10,503.93,399.92
2024-05-10,May,5,2024,Q2,West,Calgary Centre,Coffee Maker Deluxe,Appliances,9,119.99,20,863.93,719.91
2024-07-10,July,7,2024,Q3,East,Montreal Hub,Yoga Mat Premium,Health,6,39.99,20,191.95,191.94
2023-07-13,July,7,2023,Q3,Central,Saskatoon Outlet,Protein Powder Vanilla,Health,7,54.99,0,384.93,258.93
2024-02-25,February,2,2024,Q1,West,Calgary Centre,Wireless Headphones Pro,Electronics,8,129.99,15,883.93,679.92
2024-01-26,January,1,2024,Q1,Online,Online Store,Yoga Mat Premium,Health,3,39.99,5,113.97,95.97
2023-02-07,February,2,2023,Q1,Central,Saskatoon Outlet,Laptop Stand Aluminum,Electronics,10,49.99,0,499.9,379.9
2023-04-13,April,4,2023,Q2,East,Toronto Downtown,Bluetooth Speaker Mini,Electronics,9,69.99,5,598.41,449.91
